No,LFW,character,GHC,GX,rhyme,meaning,page number,character number
1,3017,𗴮,djịj¹,deh¹,1.61,類,03.01A.1,1
2,3890,𘊳,bo¹,bo̱¹,1.49,林,03.01A.1,2
3,5865,𘕕,sọ¹,so̱ṃh¹,1.70,三,03.01A.1,3
4,1290,𗡪,tsew²,tsi̱w²,2.38,第,03.01A.1,4
5,608,𗱊,thjɨ̣²,thəh²,2.61,卷,03.01A.1,5
6,902,𘞌,źjɨr¹,rźər¹,1.86,實,03.01A.2,1
7,3744,𘓟,dźiej²,dẓae̱²,2.31,信,03.01A.2,2
8,1355,𘄿,tjij¹,te¹,1.36,篇,03.01A.2,3
9,1084,𗰗,ɣạ²,γa̱h²,2.56,十,03.01A.2,4
10,4962,𗔬,we²,vwi̱²,2.07,魏,03.01A.3,1
11,2872,𗩇,wẽ¹,vwi̱ṃ¹,1.15,文,03.01A.3,2
12,3379,𗺹,xew¹,hi̱w¹,1.43,侯,03.01A.3,3
13,,,,,,,03.01A.3,4
14,866,𘅰,ɣu¹,γu̱¹,1.04,吳,03.01A.3,5
15,4807,𗒯,khji¹,khi¹,1.11,起,03.01A.3,6
16,,,,,,,03.01A.3,7
17,576,𘅧,kjwi¹,kwi¹,1.11,季,03.01A.3,8
18,1208,𗲁,tśia¹,tṣaa̱¹,1.18,扎,03.01A.3,9
19,,,,,,,03.01A.3,10
20,2259,𗪨,miej²,mae̱²,2.31,孟,03.01A.3,11
21,5925,𘕘,tsə¹,tsə̱¹,1.27,子,03.01A.3,12
22,,,,,,,03.01A.3,13
23,5574,𘃣,wji²,vi²,2.09,尾,03.01A.3,14
24,2256,𗻼,śiəj¹,ṣae̱ṃ¹,1.41,生,03.01A.3,15
25,3213,𗦆,tsjĩ¹,tsiṃ¹,1.16,晉,03.01A.4,1
26,2872,𗩇,wẽ¹,vwi̱ṃ¹,1.15,文,03.01A.4,2
27,3738,𘓖,kow¹,qo̱ṃ¹,1.54,公,03.01A.4,3
28,,,,,,,03.01A.4,4
29,1034,𘝻,kwo¹,qwo̱¹,1.19,郭,03.01A.4,5
30,4042,𗎉,kjɨ̣²,kəh²,2.61,伋,03.01A.4,6
31,,,,,,,03.01A.4,7
32,2052,𗏆,xiwã¹,hwaa̱ṃ¹,1.25,范,03.01A.4,8
33,4502,𗷅,śjɨ²,śə²,2.27,式,03.01A.4,9
34,4962,𗔬,we²,vwi̱²,2.07,魏,03.01A.5,1
35,2872,𗩇,wẽ¹,vwi̱ṃ¹,1.15,文,03.01A.5,2
36,3379,𗺹,xew¹,hi̱w¹,1.43,侯,03.01A.5,3
37,2627,𗼻,ljɨ̣²,lləh²,2.61,地,03.01A.5,4
38,3469,𗹬,sjij²,se²,2.33,識,03.01A.5,5
39,4950,𗑠,rjir²,rir²,2.72,P.,03.01A.5,6
40,558,𗌹,njijr¹,rner¹,1.74,野,03.01A.5,7
41,3844,𗭍,dźjịj¹,dźeh¹,1.61,行,03.01A.5,8
42,3216,𗥩,ljwu²,lwu²,2.03,聚,03.01A.5,9
43,795,𘙇,rjɨr²,rər²,2.77,D1,03.01A.5,10
44,5113,𘃡,wji¹,vi¹,1.10,為1,03.01A.5,11
45,3990,𗭒,khjɨ¹,khə¹,1.30,足,03.01A.5,12
46,4762,𗓓,tśhjij¹,tśhe¹,1.35,舉,03.01A.5,13
47,1101,𗗟,ꞏjij¹,ye¹,1.36,FUT,03.01A.5,14
48,705,𘅍,zjịj¹,zeh¹,1.61,時,03.01A.5,15
49,3431,𗼮,dzjụ²,dzuh²,2.52,雨,03.01A.6,1
50,4456,𘴈,tha²,tha̱²,2.54,大,03.01A.6,2
51,1452,𗱢,nja¹,na¹,1.20,D1,03.01A.6,3
52,2373,𗆐,ljịj²,lleh²,2.54,來,03.01A.6,4
53,1906,𗅉,niow¹,nuo¹,1.57,後,03.01A.6,5
54,4507,𗀚,śio¹,ṣao̱¹,1.50,發,03.01A.6,6
55,2541,𘓐,dzjwo²,dzwo²,2.44,人,03.01A.6,7
56,724,𘆄,njɨ²,nə²,2.28,等,03.01A.6,8
57,2590,𗋚,wjɨ²,və²,2.27,D1,03.01A.6,9
58,4069,𗗎,pjwɨ̱r¹,rpwər¹,1.92,諫,03.01A.6,10
59,1734,𘅇,tji¹,ti¹,1.11,勿,03.01A.6,11
60,4481,𗶷,śjɨ¹,śə¹,1.29,往2,03.01A.6,12
61,4601,𘉞,nja²,na²,2.17,2SG,03.01A.6,13
62,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.01A.6,14
63,2872,𗩇,wẽ¹,vwi̱ṃ¹,1.15,文,03.01A.6,15
64,3379,𗺹,xew¹,hi̱w¹,1.43,侯,03.01A.7,1
65,1045,𘒣,dạ²,da̱h²,2.56,曰,03.01A.7,2
66,2541,𘓐,dzjwo²,dzwo²,2.44,人,03.01A.7,3
67,4950,𗑠,rjir²,rir²,2.72,P.,03.01A.7,4
68,3216,𗥩,ljwu²,lwu²,2.03,聚,03.01A.7,5
69,1463,𗷳,du²,dau̱²,2.04,期,03.01A.7,6
70,795,𘙇,rjɨr²,rər²,2.77,D1,03.01A.7,7
71,5113,𘃡,wji¹,vi¹,1.10,為1,03.01A.7,8
72,3744,𘓟,dźiej²,dẓae̱²,2.31,信,03.01A.7,9
73,649,𘇄,ljwu¹,lwu¹,1.03,失,03.01A.7,10
74,5645,𘏚,tjị²,tih²,2.60,處,03.01A.7,11
75,491,𗰓,ljọ²,lloh²,2.64,豈,03.01A.7,12
76,2562,𗁁,wjij²,ve²,2.32,有,03.01A.7,13
77,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.01A.7,14
78,3431,𗼮,dzjụ²,dzuh²,2.52,雨,03.01A.7,15
79,2529,𗃡,pjụ²,puh²,2.52,帽,03.01B.1,1
80,5449,𘐏,tjị¹,tih¹,1.67,置1,03.01B.1,2
81,5880,𗳒,ŋwu²,ŋwu̱²,2.01,而,03.01B.1,3
82,795,𘙇,rjɨr²,rər²,2.77,D1,03.01B.1,4
83,4469,𗶹,śji²,śi²,2.09,往1,03.01B.1,5
84,3200,𗤁,tśhjiw¹,tśhiw¹,1.46,六,03.01B.1,6
85,2937,𗂧,lhjịj²,lheh²,0,國,03.01B.1,7
86,3139,𗤀,śjij¹,śe¹,1.35,代,03.01B.1,8
87,2541,𘓐,dzjwo²,dzwo²,2.44,人,03.01B.1,9
88,508,𘟂,ŋwu²,ŋwu̱²,2.01,是,03.01B.1,10
89,866,𘅰,ɣu¹,γu̱¹,1.04,吳,03.01B.2,1
90,4807,𗒯,khji¹,khi¹,1.11,起,03.01B.2,2
91,4989,𗑟,wjị¹,vih¹,1.67,朋,03.01B.2,3
92,4889,𘎆,dźjwɨ¹,dźwə¹,1.30,友,03.01B.2,4
93,4950,𗑠,rjir²,rir²,2.72,P.,03.01B.2,5
94,4508,𗠇,tjị¹,tih¹,1.67,餐,03.01B.2,6
95,4658,𗠰,thji¹,thi¹,1.11,飲,03.01B.2,7
96,3216,𗥩,ljwu²,lwu²,2.03,聚,03.01B.2,8
97,5113,𘃡,wji¹,vi¹,1.10,為1,03.01B.2,9
98,4989,𗑟,wjị¹,vih¹,1.67,朋,03.01B.2,10
99,1064,𗷝,mjij²,me²,2.33,未,03.01B.2,11
100,2373,𗆐,ljịj²,lleh²,2.54,來,03.01B.2,12
101,5354,𘌽,thjɨ²,thə²,2.28,此,03.01B.2,13
102,3349,𗏣,rjijr²,rer²,2.68,P.,03.01B.2,14
103,866,𘅰,ɣu¹,γu̱¹,1.04,吳,03.01B.2,15
104,4807,𗒯,khji¹,khi¹,1.11,起,03.01B.3,1
105,4508,𗠇,tjị¹,tih¹,1.67,餐,03.01B.3,2
106,1918,𗅋,mji¹,mi¹,1.11,不,03.01B.3,3
107,4658,𗠰,thji¹,thi¹,1.11,飲,03.01B.3,4
108,4658,𗠰,thji¹,thi¹,1.11,飲,03.01B.3,5
109,2440,𗾞,njɨ̱²,nnə²,2.29,日,03.01B.3,6
110,4989,𗑟,wjị¹,vih¹,1.67,朋,03.01B.3,7
111,2373,𗆐,ljịj²,lleh²,2.54,來,03.01B.3,8
112,3527,𗋸,mja¹,ma¹,1.20,然,03.01B.3,9
113,1906,𗅉,niow¹,nuo¹,1.57,後,03.01B.3,10
114,3370,𗦬,gu²,ġu̱²,2.01,共,03.01B.3,11
115,2590,𗋚,wjɨ²,və²,2.27,D1,03.01B.3,12
116,4658,𗠰,thji¹,thi¹,1.11,飲,03.01B.3,13
117,3200,𗤁,tśhjiw¹,tśhiw¹,1.46,六,03.01B.3,14
118,2937,𗂧,lhjịj²,lheh²,0,國,03.01B.3,15
119,3139,𗤀,śjij¹,śe¹,1.35,代,03.01B.4,1
120,2541,𘓐,dzjwo²,dzwo²,2.44,人,03.01B.4,2
121,508,𘟂,ŋwu²,ŋwu̱²,2.01,是,03.01B.4,3
122,576,𘅧,kjwi¹,kwi¹,1.11,季,03.01B.5,1
123,1208,𗲁,tśia¹,tṣaa̱¹,1.18,扎,03.01B.5,2
124,1374,𗉘,tśhjɨ¹,tśhə¹,1.29,此,03.01B.5,3
125,4861,𘝨,zjọ²,zoh²,2.64,時,03.01B.5,4
126,1245,𘝵,ꞏjij¹,ye¹,1.36,自,03.01B.5,5
127,2937,𗂧,lhjịj²,lheh²,0,國,03.01B.5,6
128,3513,𗹦,mə¹,mə̱¹,1.27,天,03.01B.5,7
129,2349,𗼓,zjɨ̣¹,zəh¹,1.69,子,03.01B.5,8
130,3099,𗫻,dźji̱j¹,ndźe¹,1.39,居,03.01B.5,9
131,5645,𘏚,tjị²,tih²,2.60,處,03.01B.5,10
132,5447,𘋩,do²,do̱²,2.42,P.,03.01B.5,11
133,795,𘙇,rjɨr²,rər²,2.77,D1,03.01B.5,12
134,676,𘞓,wjij¹,ve¹,1.35,往,03.01B.5,13
135,942,𗈇,ljạ¹,lah¹,1.64,北,03.01B.5,14
136,3349,𗏣,rjijr²,rer²,2.68,P.,03.01B.5,15
137,1326,𘙌,kjɨ¹,kə¹,1.30,D1,03.01B.6,1
138,2474,𗦎,rar²,ra̱r²,2.73,過,03.01B.6,2
139,586,𗍏,sju²,su²,2.03,徐,03.01B.6,3
140,5045,𗑪,kjwĩ¹,kwiṃ¹,1.16,君,03.01B.6,4
141,4950,𗑠,rjir²,rir²,2.72,P.,03.01B.6,5
142,5981,𗈪,ꞏja,a?,0,D1,03.01B.6,6
143,756,𘄏,dźju²,dźu²,2.02,遇,03.01B.6,7
144,586,𗍏,sju²,su²,2.03,徐,03.01B.6,8
145,5045,𗑪,kjwĩ¹,kwiṃ¹,1.16,君,03.01B.6,9
146,576,𘅧,kjwi¹,kwi¹,1.11,季,03.01B.6,10
147,1208,𗲁,tśia¹,tṣaa̱¹,1.18,扎,03.01B.6,11
148,1139,𗗙,ꞏjij¹,ye¹,1.36,之,03.01B.6,12
149,5655,𘏨,ljɨ̣¹,lləh¹,1.69,寶,03.01B.6,13
150,5205,𘟫,ɣạ¹,γa̱h¹,1.63,劒,03.01B.6,14
151,147,𗀓,śjij²,śe²,2.32,請,03.01B.6,15
152,3357,𗧠,kiẹj²,qae̱h²,2.53,欲,03.01B.7,1
153,1014,𗟲,ŋwu̱¹,ŋŋwu̱¹,1.05,語,03.01B.7,2
154,826,𗱁,thjɨ¹,thə¹,1.30,說,03.01B.7,3
155,5643,𘖑,mjɨ¹,mə¹,1.30,不,03.01B.7,4
156,1617,𘜕,kjir²,rkir²,2.72,敢,03.01B.7,5
157,576,𘅧,kjwi¹,kwi¹,1.11,季,03.01B.7,6
158,1208,𗲁,tśia¹,tṣaa̱¹,1.18,扎,03.01B.7,7
159,3574,𗥤,tsjij²,tse²,2.33,曉1,03.01B.7,8
160,2518,𗤶,nji̱j¹,nne¹,1.39,心,03.01B.7,9
161,433,𗖵,bju¹,bu¹,1.03,P.,03.01B.7,10
162,5981,𗈪,ꞏja,a?,0,D1,03.01B.7,11
163,2638,𗥠,mji̱j²,mme²,2.35,許,03.01B.7,12
164,5113,𘃡,wji¹,vi¹,1.10,為1,03.01B.7,13
165,4342,𗞞,dja²,da²,2.17,D1,03.01B.7,14
166,2511,𗨛,rjɨr²,rər²,2.77,去,03.01B.7,15
167,2912,𗆮,lhjwo¹,lhwow¹,1.48,還,03.02A.1,1
168,1906,𗅉,niow¹,nuo¹,1.57,後,03.02A.1,2
169,586,𗍏,sju²,su²,2.03,徐,03.02A.1,3
170,5045,𗑪,kjwĩ¹,kwiṃ¹,1.16,君,03.02A.1,4
171,4342,𗞞,dja²,da²,2.17,D1,03.02A.1,5
172,3072,𗢏,sji²,si²,2.10,死1,03.02A.1,6
173,576,𘅧,kjwi¹,kwi¹,1.11,季,03.02A.1,7
174,1208,𗲁,tśia¹,tṣaa̱¹,1.18,扎,03.02A.1,8
175,824,𗉮,tśhjɨ²,tśhə²,2.27,立,03.02A.1,9
176,5417,𘃛,rjar²,rar²,2.74,即,03.02A.1,10
177,5655,𘏨,ljɨ̣¹,lləh¹,1.69,寶,03.02A.1,11
178,5205,𘟫,ɣạ¹,γa̱h¹,1.63,劒,03.02A.1,12
179,4342,𗞞,dja²,da²,2.17,D1,03.02A.1,13
180,1799,𗱌,thu²,thu̱²,2.01,脫,03.02A.1,14
181,2592,𗢤,la²,la̱²,2.14,墓,03.02A.1,15
182,2750,𗥦,ɣu¹,γu̱¹,1.04,頭,03.02A.2,1
183,5856,𘕿,ɣa²,γa̱²,2.14,P.,03.02A.2,2
184,5670,𘂬,ꞏo¹,γo̱¹,1.49,垂,03.02A.2,3
185,5113,𘃡,wji¹,vi¹,1.10,為1,03.02A.2,4
186,5354,𘌽,thjɨ²,thə²,2.28,此,03.02A.2,5
187,1183,𘅣,dạ²,da̱h²,2.56,事,03.02A.2,6
188,4591,𗢆,śjwɨ¹,śwə¹,1.29,說,03.02A.2,7
189,5467,𘃟,ꞏjwã¹,ywaṃ¹,1.26,苑,03.02A.2,8
190,4797,𘝞,ꞏjwɨr²,rywər²,2.77,文,03.02A.2,9
191,5993,𘂤,kha¹,qha̱¹,1.17,中,03.02A.2,10
192,5612,𘎪,tshji̱j¹,ntshe¹,1.39,說1,03.02A.2,11
193,5993,𘂤,kha¹,qha̱¹,1.17,中,03.02A.3,1
194,5925,𘕘,tsə¹,tsə̱¹,1.27,子,03.02A.3,2
195,1906,𗅉,niow¹,nuo¹,1.57,後,03.02A.3,3
196,2639,𗦻,mji̱j²,mme²,2.35,名,03.02A.3,4
197,4775,𗐪,khjow²,qhao̱ṃ²,2.48,轲,03.02A.3,5
198,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.02A.3,6
199,1319,𘄴,tshji¹,tshi¹,1.11,齊,03.02A.3,7
200,2937,𗂧,lhjịj²,lheh²,0,國,03.02A.3,8
201,2541,𘓐,dzjwo²,dzwo²,2.44,人,03.02A.3,9
202,508,𘟂,ŋwu²,ŋwu̱²,2.01,是,03.02A.3,10
203,1245,𘝵,ꞏjij¹,ye¹,1.36,自,03.02A.3,11
204,1892,𗎭,mji̱¹,mmi¹,1.14,宅,03.02A.3,12
205,5725,𘃂,wjɨ̣²,vəh²,2.61,東,03.02A.3,13
206,3349,𗏣,rjijr²,rer²,2.68,方,03.02A.3,14
207,2862,𗫌,nji¹,ni¹,1.11,家,03.02A.3,15
208,4889,𘎆,dźjwɨ¹,dźwə¹,1.30,鄰,03.02A.4,1
209,1794,𗱀,ꞏo¹,γo̱¹,1.49,主,03.02A.4,2
210,4884,𗐱,nji²,ni²,2.10,等,03.02A.4,3
211,294,𗗾,wa¹,vwa̱¹,1.17,豬,03.02A.4,4
212,716,𘙣,śji̱¹,nśi¹,1.14,宰1,03.02A.4,5
213,2259,𗪨,miej²,mae̱²,2.31,孟,03.02A.4,6
214,5925,𘕘,tsə¹,tsə̱¹,1.27,子,03.02A.4,7
215,92,𗴺,mja¹,ma¹,1.20,母,03.02A.4,8
216,1139,𗗙,ꞏjij¹,ye¹,1.36,P.,03.02A.4,9
217,4342,𗞞,dja²,da²,2.17,D1,03.02A.4,10
218,2082,𗤄,ꞏjɨr¹,ryər¹,1.86,問,03.02A.4,11
219,294,𗗾,wa¹,vwa̱¹,1.17,豬,03.02A.4,12
220,716,𘙣,śji̱¹,nśi¹,1.14,宰1,03.02A.4,13
221,3092,𗫶,djij²,de²,2.33,PROG,03.02A.4,14
222,3583,𗫂,tja¹,ta¹,1.20,者,03.02A.4,15
223,491,𗰓,ljọ²,lloh²,2.64,豈,03.02A.5,1
224,2417,𗋂,śjwo¹,śwow¹,1.48,用,03.02A.5,2
225,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.02A.5,3
226,92,𗴺,mja¹,ma¹,1.20,母,03.02A.5,4
227,1333,𘗮,dźjụ²,dźuh²,2.52,戲,03.02A.5,5
228,4493,𗷍,dźjịj²,dźeh²,2.54,言,03.02A.5,6
229,5880,𗳒,ŋwu²,ŋwu̱²,2.01,而,03.02A.5,7
230,1045,𘒣,dạ²,da̱h²,2.56,曰,03.02A.5,8
231,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.02A.5,9
232,3926,𘀍,nja²,na²,2.17,汝,03.02A.5,10
233,2590,𗋚,wjɨ²,və²,2.27,D1,03.02A.5,11
234,4547,𗠈,dzjo¹,dzo¹,1.51,食2,03.02A.5,12
235,4601,𘉞,nja²,na²,2.17,2SG,03.02A.5,13
236,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.02A.5,14
237,5612,𘎪,tshji̱j¹,ntshe¹,1.39,說1,03.02A.5,15
238,5712,𘃪,dźjwa¹,dźwa¹,1.19,終,03.02A.6,1
239,1906,𗅉,niow¹,nuo¹,1.57,後,03.02A.6,2
240,92,𗴺,mja¹,ma¹,1.20,母,03.02A.6,3
241,374,𗳜,lhji̱¹,nlhi¹,1.14,悔,03.02A.6,4
242,1045,𘒣,dạ²,da̱h²,2.56,曰,03.02A.6,5
243,1014,𗟲,ŋwu̱¹,ŋŋwu̱¹,1.05,語,03.02A.6,6
244,1326,𘙌,kjɨ¹,kə¹,1.30,D1,03.02A.6,7
245,4497,𗷁,dza̱¹,ndza̱¹,1.22,失,03.02A.6,8
246,2098,𗧓,ŋa²,ŋa̱²,2.14,1SG,03.02A.6,9
247,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.02A.6,10
248,824,𗉮,tśhjɨ²,tśhə²,2.27,立,03.02A.6,11
249,5417,𘃛,rjar²,rar²,2.74,即,03.02A.6,12
250,3465,𗁮,tśhji¹,tśhi¹,1.10,肉,03.02A.6,13
251,5845,𗗣,lwə²,lwə̱²,2.25,買,03.02A.6,14
252,2259,𗪨,miej²,mae̱²,2.31,孟,03.02A.6,15
253,5925,𘕘,tsə¹,tsə̱¹,1.27,子,03.02A.7,1
254,1139,𗗙,ꞏjij¹,ye¹,1.36,P.,03.02A.7,2
255,4342,𗞞,dja²,da²,2.17,D1,03.02A.7,3
256,4542,𗠩,mji¹,mi¹,1.11,喂,03.02A.7,4
257,3744,𘓟,dźiej²,dẓae̱²,2.31,信,03.02A.7,5
258,1918,𗅋,mji¹,mi¹,1.11,不,03.02A.7,6
259,649,𘇄,ljwu¹,lwu¹,1.03,失,03.02A.7,7
260,1139,𗗙,ꞏjij¹,ye¹,1.36,P.,03.02A.7,8
261,2149,𗏴,dźju¹,dźu¹,1.02,顯,03.02A.7,9
262,4868,𗑩,gji̱²,ŋgi²,2.12,願,03.02A.7,10
263,2484,𘔼,nio̱w¹,nuo¹,1.57,因,03.02A.7,11
264,5285,𘃞,ljɨ¹,lə¹,1.29,也,03.02A.7,12
265,3200,𗤁,tśhjiw¹,tśhiw¹,1.46,六,03.02A.7,13
266,2937,𗂧,lhjịj²,lheh²,0,國,03.02A.7,14
267,3139,𗤀,śjij¹,śe¹,1.35,代,03.02A.7,15
268,2541,𘓐,dzjwo²,dzwo²,2.44,人,03.02B.1,1
269,508,𘟂,ŋwu²,ŋwu̱²,2.01,是,03.02B.1,2
270,5574,𘃣,wji²,vi²,2.09,尾,03.02B.2,1
271,2256,𗻼,śiəj¹,ṣae̱ṃ¹,1.41,生,03.02B.2,2
272,243,𗡸,sji²,si²,2.10,婦,03.02B.2,3
273,2541,𘓐,dzjwo²,dzwo²,2.44,人,03.02B.2,4
274,448,𗖌,gjɨ²,gə²,2.28,一,03.02B.2,5
275,4950,𗑠,rjir²,rir²,2.72,P.,03.02B.2,6
276,2584,𗋻,dzow¹,dzo̱ṃ¹,1.55,橋,03.02B.2,7
277,5399,𗯴,khju¹,khu¹,1.03,下,03.02B.2,8
278,1326,𘙌,kjɨ¹,kə¹,1.30,D1,03.02B.2,9
279,3216,𗥩,ljwu²,lwu²,2.03,聚,03.02B.2,10
280,795,𘙇,rjɨr²,rər²,2.77,D1,03.02B.2,11
281,5522,𗭻,lji̱j²,nle²,2.35,待1,03.02B.2,12
282,1064,𗷝,mjij²,me²,2.33,未,03.02B.2,13
283,2373,𗆐,ljịj²,lleh²,2.54,來,03.02B.2,14
284,3058,𗋽,zjɨ̱r²,rzər²,2.85,水,03.02B.2,15
285,4456,𘴈,tha²,tha̱²,2.54,大,03.02B.3,1
286,4161,𗛧,ljụ¹,lluh¹,1.59,流,03.02B.3,2
287,2474,𗦎,rar²,ra̱r²,2.73,過,03.02B.3,3
288,5574,𘃣,wji²,vi²,2.09,尾,03.02B.3,4
289,2256,𗻼,śiəj¹,ṣae̱ṃ¹,1.41,生,03.02B.3,5
290,824,𗉮,tśhjɨ²,tśhə²,2.27,立,03.02B.3,6
291,5417,𘃛,rjar²,rar²,2.74,即,03.02B.3,7
292,2584,𗋻,dzow¹,dzo̱ṃ¹,1.55,橋,03.02B.3,8
293,4399,𗞁,dzjị²,dzih²,2.60,柱,03.02B.3,9
294,1326,𘙌,kjɨ¹,kə¹,1.30,D1,03.02B.3,10
295,2921,𗃋,wjijr²,rver²,2.68,抱,03.02B.3,11
296,4342,𗞞,dja²,da²,2.17,D1,03.02B.3,12
297,3072,𗢏,sji²,si²,2.10,死1,03.02B.3,13
298,5354,𘌽,thjɨ²,thə²,2.28,此,03.02B.3,14
299,3583,𗫂,tja¹,ta¹,1.20,者,03.02B.3,15
300,3744,𘓟,dźiej²,dẓae̱²,2.31,信,03.02B.4,1
301,4444,𘓁,ljɨ̣¹,lləh¹,1.69,及,03.02B.4,2
302,508,𘟂,ŋwu²,ŋwu̱²,2.01,是,03.02B.4,3
303,3092,𗫶,djij²,de²,2.33,PROG,03.02B.4,4
304,2628,𗾖,go̱r¹,ŋġo̱r¹,1.94,君,03.02B.4,5
305,1567,𘈷,gji²,gi²,2.10,子,03.02B.4,6
306,5354,𘌽,thjɨ²,thə²,2.28,此,03.02B.4,7
307,5604,𘝦,dźjɨ,dźə¹,0,業,03.02B.4,8
308,1918,𗅋,mji¹,mi¹,1.11,不,03.02B.4,9
309,3844,𗭍,dźjịj¹,dźeh¹,1.61,行,03.02B.4,10
310,5285,𘃞,ljɨ¹,lə¹,1.29,也,03.02B.4,11
311,3213,𗦆,tsjĩ¹,tsiṃ¹,1.16,晉,03.02B.5,1
312,2872,𗩇,wẽ¹,vwi̱ṃ¹,1.15,文,03.02B.5,2
313,3738,𘓖,kow¹,qo̱ṃ¹,1.54,公,03.02B.5,3
314,1906,𗅉,niow¹,nuo¹,1.57,後,03.02B.5,4
315,444,𗕸,tśhjow¹,tśhoṃ¹,1.56,重,03.02B.5,5
316,52,𗄋,źji¹,źi¹,1.10,耳,03.02B.5,6
317,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.02B.5,7
318,938,𘄊,lji¹,li¹,1.10,驪,03.02B.5,8
319,5157,𘎫,kji¹,ki¹,1.11,姬,03.02B.5,9
320,2539,𗴒,kjạ¹,kah¹,1.64,驚,03.02B.5,10
321,4950,𗑠,rjir²,rir²,2.72,P.,03.02B.5,11
322,5981,𗈪,ꞏja,a?,0,D1,03.02B.5,12
323,19,𗄛,ber²,rbi̱r²,1.72,遇,03.02B.5,13
324,4861,𘝨,zjọ²,zoh²,2.64,時,03.02B.5,14
325,1796,𗳷,tśhjụ¹,tṣhau̱h¹,1.59,楚,03.02B.5,15
326,2937,𗂧,lhjịj²,lheh²,0,國,03.02B.6,1
327,2750,𗥦,ɣu¹,γu̱¹,1.04,頭,03.02B.6,2
328,1326,𘙌,kjɨ¹,kə¹,1.30,D1,03.02B.6,3
329,3175,𗨳,tjị¹,tih¹,1.67,歸,03.02B.6,4
330,1796,𗳷,tśhjụ¹,tṣhau̱h¹,1.59,楚,03.02B.6,5
331,3830,𘟙,njij²,ne²,2.33,王,03.02B.6,6
332,4040,𘔯,khju̱¹,ŋkhau̱¹,1.06,迎,03.02B.6,7
333,3159,𗨙,lhjịj²,lheh²,2.54,受1,03.02B.6,8
334,1045,𘒣,dạ²,da̱h²,2.56,曰,03.02B.6,9
335,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.02B.6,10
336,3926,𘀍,nja²,na²,2.17,汝,03.02B.6,11
337,2937,𗂧,lhjịj²,lheh²,0,國,03.02B.6,12
338,2912,𗆮,lhjwo¹,lhwow¹,1.48,還,03.02B.6,13
339,705,𘅍,zjịj¹,zeh¹,1.61,時,03.02B.6,14
340,5688,𘕣,wa²,vwa̱²,2.14,何,03.02B.6,15
341,5880,𗳒,ŋwu²,ŋwu̱²,2.01,而,03.02B.7,1
342,502,𘓊,zjɨ̱r¹,rzər¹,1.92,寡,03.02B.7,2
343,545,𗸦,dźjwu¹,dźwu¹,1.02,人,03.02B.7,3
344,1139,𗗙,ꞏjij¹,ye¹,1.36,P.,03.02B.7,4
345,619,𗖄,njwi¹,nwi¹,1.11,恩,03.02B.7,5
346,1514,𘆏,ljɨ̱¹,nlə¹,1.32,報,03.02B.7,6
347,4601,𘉞,nja²,na²,2.17,2SG,03.02B.7,7
348,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.02B.7,8
349,444,𗕸,tśhjow¹,tśhoṃ¹,1.56,重,03.02B.7,9
350,52,𗄋,źji¹,źi¹,1.10,耳,03.02B.7,10
351,1045,𘒣,dạ²,da̱h²,2.56,曰,03.02B.7,11
352,5306,𘋨,dzjwɨ¹,dzwə¹,1.30,君,03.02B.7,12
353,1139,𗗙,ꞏjij¹,ye¹,1.36,之,03.02B.7,13
354,3111,𗿣,mjịjr²,rmer²,2.68,神,03.02B.7,14
355,3354,𗪺,ɣie¹,γai̱¹,1.09,力,03.02B.7,15
356,5880,𗳒,ŋwu²,ŋwu̱²,2.01,而,03.03A.1,1
357,856,𗰜,mər²,rmə̱r²,2.76,本,03.03A.1,2
358,2937,𗂧,lhjịj²,lheh²,0,國,03.03A.1,3
359,2912,𗆮,lhjwo¹,lhwow¹,1.48,還,03.03A.1,4
360,1599,𘜘,rjir¹,rir¹,1.79,得1,03.03A.1,5
361,1542,𗌭,ku¹,qu̱¹,1.01,故,03.03A.1,6
362,4978,𗓱,tjij¹,te¹,1.36,若,03.03A.1,7
363,5306,𘋨,dzjwɨ¹,dzwə¹,1.30,君,03.03A.1,8
364,2937,𗂧,lhjịj²,lheh²,0,國,03.03A.1,9
365,1531,𘒏,gia¹,ga¹,1.20,軍,03.03A.1,10
366,9,𗄈,śjwo¹,śwow¹,1.48,發,03.03A.1,11
367,261,𘘮,mjo²,mo²,2.44,我,03.03A.1,12
368,2937,𗂧,lhjịj²,lheh²,0,國,03.03A.1,13
369,1531,𘒏,gia¹,ga¹,1.20,軍,03.03A.1,14
370,4950,𗑠,rjir²,rir²,2.72,P.,03.03A.1,15
371,425,𗸓,dwə¹,rdwə̱r¹,1.84,鬥,03.03A.2,1
372,705,𘅍,zjịj¹,zeh¹,1.61,時,03.03A.2,2
373,261,𘘮,mjo²,mo²,2.44,我,03.03A.2,3
